datetime,symbol,open,high,low,close,volume
2/14/2023 16:00,OANDA:EURUSD,1.07596,1.07609,1.07586,1.07588,435
2/14/2023 16:05,OANDA:EURUSD,1.07588,1.07592,1.07562,1.0757,334
2/14/2023 16:10,OANDA:EURUSD,1.0757,1.07583,1.0755,1.07572,468
2/14/2023 16:15,OANDA:EURUSD,1.07572,1.07638,1.07572,1.07622,467
2/14/2023 16:20,OANDA:EURUSD,1.07622,1.07681,1.0761,1.07636,542
2/14/2023 16:25,OANDA:EURUSD,1.07636,1.07636,1.07553,1.0758,758
2/14/2023 16:30,OANDA:EURUSD,1.0758,1.07664,1.07578,1.07662,530
2/14/2023 16:35,OANDA:EURUSD,1.07662,1.07662,1.07577,1.07618,557
2/14/2023 16:40,OANDA:EURUSD,1.07618,1.07645,1.07589,1.07589,591
2/14/2023 16:45,OANDA:EURUSD,1.07589,1.07589,1.07509,1.07534,803
2/14/2023 16:50,OANDA:EURUSD,1.07534,1.07604,1.07524,1.07573,828
2/14/2023 16:55,OANDA:EURUSD,1.07573,1.07589,1.0754,1.07572,757
2/14/2023 17:00,OANDA:EURUSD,1.07572,1.08047,1.07188,1.07873,3885
2/14/2023 17:05,OANDA:EURUSD,1.07873,1.0794,1.07544,1.0759,3066
2/14/2023 17:10,OANDA:EURUSD,1.0759,1.07736,1.07506,1.07618,2694
2/14/2023 17:15,OANDA:EURUSD,1.07618,1.07847,1.07536,1.07847,2461
2/14/2023 17:20,OANDA:EURUSD,1.07847,1.07865,1.07574,1.07622,2399
2/14/2023 17:25,OANDA:EURUSD,1.07622,1.07717,1.07564,1.07611,2088
2/14/2023 17:30,OANDA:EURUSD,1.07611,1.07694,1.07562,1.07578,2354
2/14/2023 17:35,OANDA:EURUSD,1.07578,1.07628,1.07432,1.07466,2125
2/14/2023 17:40,OANDA:EURUSD,1.07466,1.07478,1.07351,1.07406,2049
2/14/2023 17:45,OANDA:EURUSD,1.07406,1.07452,1.07334,1.07409,2077
2/14/2023 17:50,OANDA:EURUSD,1.07409,1.07436,1.07304,1.07314,1776
2/14/2023 17:55,OANDA:EURUSD,1.07314,1.07356,1.07178,1.07254,1826
2/14/2023 18:00,OANDA:EURUSD,1.07254,1.07266,1.07084,1.07166,2446
2/14/2023 18:05,OANDA:EURUSD,1.07166,1.07304,1.07138,1.07298,2348
2/14/2023 18:10,OANDA:EURUSD,1.07298,1.07387,1.07266,1.07323,1936
2/14/2023 18:15,OANDA:EURUSD,1.07323,1.07548,1.07323,1.07458,2041
2/14/2023 18:20,OANDA:EURUSD,1.07458,1.07512,1.07408,1.07456,1760
2/14/2023 18:25,OANDA:EURUSD,1.07456,1.07564,1.07456,1.07524,1582
2/14/2023 18:30,OANDA:EURUSD,1.07524,1.0762,1.07508,1.07564,1643
2/14/2023 18:35,OANDA:EURUSD,1.07564,1.07572,1.07504,1.07561,1447
2/14/2023 18:40,OANDA:EURUSD,1.07561,1.07718,1.07548,1.07641,1334
2/14/2023 18:45,OANDA:EURUSD,1.07641,1.07682,1.07571,1.07581,1300
2/14/2023 18:50,OANDA:EURUSD,1.07581,1.07658,1.07581,1.07628,1194
2/14/2023 18:55,OANDA:EURUSD,1.07628,1.07636,1.07526,1.07542,1236
2/14/2023 19:00,OANDA:EURUSD,1.07542,1.0758,1.07478,1.0754,1259
2/14/2023 19:05,OANDA:EURUSD,1.0754,1.07542,1.07423,1.07433,1464
2/14/2023 19:10,OANDA:EURUSD,1.07433,1.07462,1.07348,1.07348,1429
2/14/2023 19:15,OANDA:EURUSD,1.07348,1.0735,1.07252,1.07311,1563
2/14/2023 19:20,OANDA:EURUSD,1.07311,1.07312,1.07068,1.0712,1454
2/14/2023 19:25,OANDA:EURUSD,1.0712,1.07194,1.07102,1.07158,1175
2/14/2023 19:30,OANDA:EURUSD,1.07158,1.07286,1.07146,1.07264,1226
2/14/2023 19:35,OANDA:EURUSD,1.07264,1.07296,1.07177,1.07178,1160
2/14/2023 19:40,OANDA:EURUSD,1.07178,1.07234,1.0715,1.0721,1085
2/14/2023 19:45,OANDA:EURUSD,1.0721,1.07322,1.07194,1.07314,1201
2/14/2023 19:50,OANDA:EURUSD,1.07314,1.07336,1.0727,1.0733,1103
2/14/2023 19:55,OANDA:EURUSD,1.0733,1.0734,1.07164,1.07166,1333
2/14/2023 20:00,OANDA:EURUSD,1.07166,1.07195,1.07124,1.07166,1494
2/14/2023 20:05,OANDA:EURUSD,1.07166,1.07242,1.07163,1.07186,1184
2/14/2023 20:10,OANDA:EURUSD,1.07186,1.072,1.07137,1.07164,1088
2/14/2023 20:15,OANDA:EURUSD,1.07164,1.07196,1.07128,1.0718,1084
2/14/2023 20:20,OANDA:EURUSD,1.0718,1.0722,1.07138,1.07199,883
2/14/2023 20:25,OANDA:EURUSD,1.07199,1.07237,1.07159,1.07214,1047
2/14/2023 20:30,OANDA:EURUSD,1.07214,1.07288,1.0721,1.07266,1014
2/14/2023 20:35,OANDA:EURUSD,1.07266,1.0727,1.07208,1.07246,752
2/14/2023 20:40,OANDA:EURUSD,1.07246,1.07305,1.07236,1.07298,763
2/14/2023 20:45,OANDA:EURUSD,1.07298,1.07304,1.07236,1.07264,650
2/14/2023 20:50,OANDA:EURUSD,1.07264,1.07268,1.07216,1.07224,658
2/14/2023 20:55,OANDA:EURUSD,1.07224,1.07258,1.0721,1.07228,571
2/14/2023 21:00,OANDA:EURUSD,1.07228,1.0726,1.07192,1.0726,660
2/14/2023 21:05,OANDA:EURUSD,1.0726,1.07294,1.07248,1.07268,544
2/14/2023 21:10,OANDA:EURUSD,1.07268,1.07278,1.07224,1.07234,659
2/14/2023 21:15,OANDA:EURUSD,1.07234,1.07258,1.07224,1.0724,487
2/14/2023 21:20,OANDA:EURUSD,1.0724,1.07244,1.07215,1.0722,415
2/14/2023 21:25,OANDA:EURUSD,1.0722,1.07278,1.07214,1.07278,537
2/14/2023 21:30,OANDA:EURUSD,1.07278,1.07448,1.07273,1.0743,1022
2/14/2023 21:35,OANDA:EURUSD,1.0743,1.07456,1.07372,1.07372,743
2/14/2023 21:40,OANDA:EURUSD,1.07372,1.07392,1.07348,1.0737,816
2/14/2023 21:45,OANDA:EURUSD,1.0737,1.07424,1.07366,1.07394,747
2/14/2023 21:50,OANDA:EURUSD,1.07394,1.07445,1.0738,1.07388,649
2/14/2023 21:55,OANDA:EURUSD,1.07388,1.07409,1.07343,1.07354,617
2/14/2023 22:00,OANDA:EURUSD,1.07354,1.07388,1.07354,1.07384,711
2/14/2023 22:05,OANDA:EURUSD,1.07384,1.07406,1.07358,1.0738,738
2/14/2023 22:10,OANDA:EURUSD,1.0738,1.0739,1.07305,1.0731,508
2/14/2023 22:15,OANDA:EURUSD,1.0731,1.07352,1.0731,1.07314,440
2/14/2023 22:20,OANDA:EURUSD,1.07314,1.07322,1.07303,1.0732,424
2/14/2023 22:25,OANDA:EURUSD,1.0732,1.07341,1.073,1.07316,603
2/14/2023 22:30,OANDA:EURUSD,1.07316,1.07325,1.07282,1.07292,727
2/14/2023 22:35,OANDA:EURUSD,1.07292,1.07292,1.07232,1.07248,1151
2/14/2023 22:40,OANDA:EURUSD,1.07248,1.07268,1.0724,1.07256,535
2/14/2023 22:45,OANDA:EURUSD,1.07256,1.07292,1.07256,1.0728,487
2/14/2023 22:50,OANDA:EURUSD,1.0728,1.07304,1.07252,1.07294,401
2/14/2023 22:55,OANDA:EURUSD,1.07294,1.07304,1.07276,1.07294,424
2/14/2023 23:00,OANDA:EURUSD,1.07294,1.07338,1.07294,1.07338,402
2/14/2023 23:05,OANDA:EURUSD,1.07338,1.07362,1.07334,1.07352,389
2/14/2023 23:10,OANDA:EURUSD,1.07352,1.07363,1.07342,1.07354,381
2/14/2023 23:15,OANDA:EURUSD,1.07354,1.07392,1.07346,1.07373,474
2/14/2023 23:20,OANDA:EURUSD,1.07373,1.07378,1.07345,1.07375,352
2/14/2023 23:25,OANDA:EURUSD,1.07375,1.0741,1.0737,1.07394,427
2/14/2023 23:30,OANDA:EURUSD,1.07394,1.07394,1.07364,1.0739,461
2/14/2023 23:35,OANDA:EURUSD,1.0739,1.07392,1.07334,1.07342,315
2/14/2023 23:40,OANDA:EURUSD,1.07342,1.07372,1.07322,1.07354,381
2/14/2023 23:45,OANDA:EURUSD,1.07354,1.07376,1.07346,1.07366,368
2/14/2023 23:50,OANDA:EURUSD,1.07366,1.07376,1.0736,1.07364,283
2/14/2023 23:55,OANDA:EURUSD,1.07364,1.07374,1.07352,1.07358,277
2/15/2023 0:00,OANDA:EURUSD,1.07358,1.0736,1.07338,1.07358,387
2/15/2023 0:05,OANDA:EURUSD,1.07358,1.07391,1.07338,1.07383,388
2/15/2023 0:10,OANDA:EURUSD,1.07383,1.07419,1.07378,1.07418,382
2/15/2023 0:15,OANDA:EURUSD,1.07418,1.07425,1.07394,1.07424,364
2/15/2023 0:20,OANDA:EURUSD,1.07424,1.07424,1.07392,1.07408,323
2/15/2023 0:25,OANDA:EURUSD,1.07408,1.07418,1.0737,1.0738,353
2/15/2023 0:30,OANDA:EURUSD,1.0738,1.0739,1.07369,1.07378,285
2/15/2023 0:35,OANDA:EURUSD,1.07378,1.07383,1.07372,1.07377,146
2/15/2023 0:40,OANDA:EURUSD,1.07377,1.07382,1.07367,1.07375,97
2/15/2023 0:45,OANDA:EURUSD,1.07375,1.0738,1.0737,1.07376,197
2/15/2023 0:50,OANDA:EURUSD,1.07376,1.07385,1.0737,1.07372,117
2/15/2023 0:55,OANDA:EURUSD,1.07372,1.07386,1.0737,1.07381,116
2/15/2023 1:00,OANDA:EURUSD,1.07381,1.07382,1.07369,1.0737,51
2/15/2023 1:05,OANDA:EURUSD,1.0737,1.0737,1.07354,1.07356,70
2/15/2023 1:10,OANDA:EURUSD,1.07356,1.07363,1.07354,1.07363,72
2/15/2023 1:15,OANDA:EURUSD,1.07363,1.0737,1.07353,1.07366,116
2/15/2023 1:20,OANDA:EURUSD,1.07366,1.07366,1.07357,1.0736,105
2/15/2023 1:25,OANDA:EURUSD,1.0736,1.07364,1.07351,1.07357,66
2/15/2023 1:30,OANDA:EURUSD,1.07357,1.07376,1.07357,1.07376,2
